Register Address,UnitName,UnitId,FunctionGroup,FunctionNumber,DatapointId,DatapointName,Type,TypeName,Decimal,FunctionGroup name,Function name,Steps,Min. value,Max. value,Writable,unit,Commentary,Text 0,Text 1,Text 2,Text 3,Text 4,Text 5,Text 6,Text 7,Text 8,Text 9,Text 10,Text 11,Text 12,Text 13,Text 14,Text 15,Text 16,Text 17,Text 18,Text 19,Text 20,Text 21,Text 22,Text 23,Text 24,Text 25,Text 26,Text 27,Text 28,Text 29,Text 30,Text 31
32,SOL,65,0,0,29042,Active error 1_error_code,11,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,SOL,65,0,0,29043,Active error 2_appearance_time,3,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,SOL,65,0,0,29043,Active error 2_appearance_date,4,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,SOL,65,0,0,29043,Active error 2_disappear_time,5,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,SOL,65,0,0,29043,Active error 2_disappear_date,6,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,SOL,65,0,0,29043,Active error 2_source,7,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,SOL,65,0,0,29043,Active error 2_function_group,8,U8,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,SOL,65,0,0,29043,Active error 2_function_number,9,U8,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,SOL,65,0,0,29043,Active error 2_error_type,10,U8,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,SOL,65,0,0,29043,Active error 2_error_code,11,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,SOL,65,0,0,29044,Active error 3_appearance_time,3,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,SOL,65,0,0,29044,Active error 3_appearance_date,4,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,SOL,65,0,0,29044,Active error 3_disappear_time,5,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,SOL,65,0,0,29044,Active error 3_disappear_date,6,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,SOL,65,0,0,29044,Active error 3_source,7,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,SOL,65,0,0,29044,Active error 3_function_group,8,U8,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,SOL,65,0,0,29044,Active error 3_function_number,9,U8,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,SOL,65,0,0,29044,Active error 3_error_type,10,U8,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,SOL,65,0,0,29044,Active error 3_error_code,11,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,SOL,65,0,0,29045,Active error 4_appearance_time,3,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,SOL,65,0,0,29045,Active error 4_appearance_date,4,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,SOL,65,0,0,29045,Active error 4_disappear_time,5,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,SOL,65,0,0,29045,Active error 4_disappear_date,6,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,SOL,65,0,0,29045,Active error 4_source,7,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,SOL,65,0,0,29045,Active error 4_function_group,8,U8,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,SOL,65,0,0,29045,Active error 4_function_number,9,U8,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,SOL,65,0,0,29045,Active error 4_error_type,10,U8,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,SOL,65,0,0,29045,Active error 4_error_code,11,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,SOL,65,0,0,29046,Active error 5_appearance_time,3,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,SOL,65,0,0,29046,Active error 5_appearance_date,4,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,SOL,65,0,0,29046,Active error 5_disappear_time,5,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,SOL,65,0,0,29046,Active error 5_disappear_date,6,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,SOL,65,0,0,29046,Active error 5_source,7,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,SOL,65,0,0,29046,Active error 5_function_group,8,U8,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,SOL,65,0,0,29046,Active error 5_function_number,9,U8,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,SOL,65,0,0,29046,Active error 5_error_type,10,U8,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,SOL,65,0,0,29046,Active error 5_error_code,11,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,SOL,65,22,0,2056,Solar controller status,1,U8,0,Collector,Collector 1,1,0,3,No,,Status solar functions#0= Switched off#1= Charging active#2= Fault#3= Warning / Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,SOL,65,22,1,2056,Solar controller status,1,U8,0,Collector,Collector 2,1,0,3,No,,Status solar functions#0= Switched off#1= Charging active#2= Fault#3= Warning / Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,SOL,65,23,0,16,TU storage tank bottom temp.,1,S16,1,Solar storage tank,Solar st. tank 1,1,0,1000,No,°C,Current temperature in the solar storage tank below. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,SOL,65,23,0,15,TO storage tank top temp.,1,S16,1,Solar storage tank,Solar st. tank 1,1,0,1000,No,°C,Current temperature in the buffer / storage tank above. This value can come locally or from the system controller buffer (00-015) / DHW storage (00-004).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
